Category1,Category2,Category3,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug
A,J,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83992,83637,81326,63417,58770,75216,67933,72512,91060,59131,80407,155139,60245,68522,70361,51494,53477,70119,62990,87408,95675,65188,76027,158981,66715,74911,81100,57501,54024,68301,74127,74454,69387,62062,86580,182674,70836,72593,90633,67894,69064,86242,74220,81911
B,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71087,69797,94759,67674,55833,82350,52934,62844,78548,49921,56702,88182,61106,59605,88175,63215,52800,74817,50049,58433,70531,42688,49741,79234,53587,53223,68315,52683,44164,61197,44420,53516,63873,39023,44226,71983,47118,47914,64339,49161,40482,55663,39477,43898
B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57726,53624,65831,52814,46401,65559,43223,48673,59889,33444,35752,65409,41339,39764,51549,35352,31694,48222,29566,34236,42750,26693,29734,51714,33347,29857,36338,28677,25828,36179,29393,28944,35356,23966,24978,54357,26312,23491,31414,23197,21571,31729,22100,24483
B,A,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15153,17838,21842,15896,12683,16341,13461,12380,12444,9795,9089,21828,9380,9798,11525,8251,8236,10896,9915,8306,9425,7355,7856,16871,7824,5293,6667,5920,7588,7668,6245,6170,6538,4703,5033,11120,4554,3880,8687,2771,1898,3536,2466,2025
B,A,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470620,499929,691920,505691,385307,564811,388641,464046,624277,373178,437577,573048,395531,399729,582873,402044,321582,465060,296726,349152,388922,213969,249744,327194,231169,240516,336709,260177,202379,292081,202787,234485,296688,179643,202059,292670,201795,227396,299593,222496,177939,272033,181450,201701
B,A,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,475,560,351,224,384,266,301,363,456,417,495,368,252,756,432,296,240,171,142,271,213,181,574,224,270,337,204,190,309,213,167,271,103,86,557,1644,643,343,366,201,454,357,662
B,A,N,647717,2590869,2495114,3213490,2497916,2198768,3170163,2326852,2825216,3176992,2228833,2515571,3567119,2592013,2540898,3458527,2653561,2215417,3214531,2378639,2792925,3562215,2208392,2497705,4112159,2539441,2536003,3418386,2549158,2131176,3188209,2270962,2776162,3441995,2157189,2491766,4061467,2603189,2498027,3616878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,A,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25041,22493,26244,19729,17275,23435,13378,14772,17292,14647,21206,40988,23938,24945,35043,21748,23076,30184,22009,24185,26943,16944,19083,48638,22784,22061,27243,21531,20736,40730,26905,26025,28690,16818,19407,41690,19208,17358,19565,13708,12964,15264,10988,11004
B,A,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,108,77,88,77,132,74,87,119,50,41,106,70,74,374,167,338,774,635,789,1388,699,1629,2068,518,318,347,167,231,125,84,58,84,10,28,25,13,6,1,0,0,17,17,4
B,B,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8912,8838,9936,7471,6338,9103,6591,8591,11421,6686,8834,13949,10635,10428,14414,10685,8422,12693,8276,12605,26868,20121,24290,36440,27898,25904,35092,26313,20689,28301,21549,25822,33886,21611,28095,40405,28188,28917,40176,28985,24275,32625,24214,26856
